"frequency";"r dBS21";"i dBS21"
2255.89;-4.94074e-08;0
2277.44;-5.0356e-08;0
2299.2;-5.13228e-08;0
2321.17;-5.23082e-08;0
2343.34;-5.33125e-08;0
2365.73;-5.43361e-08;0
2388.34;-5.53794e-08;0
2411.16;-5.64427e-08;0
2434.19;-5.75264e-08;0
2457.45;-5.86309e-08;0
2480.93;-5.97566e-08;0
2504.63;-6.09039e-08;0
2528.56;-6.20733e-08;0
2552.72;-6.32651e-08;0
2577.11;-6.44797e-08;0
2601.73;-6.57178e-08;0
2626.59;-6.69795e-08;0
2651.69;-6.82655e-08;0
2677.02;-6.95762e-08;0
2702.6;-7.09121e-08;0
2728.42;-7.22736e-08;0
2754.49;-7.36612e-08;0
2780.81;-7.50755e-08;0
2807.37;-7.6517e-08;0
2834.2;-7.79861e-08;0
2861.28;-7.94834e-08;0
2888.61;-8.10095e-08;0
2916.21;-8.25649e-08;0
2944.08;-8.41502e-08;0
2972.2;-8.57658e-08;0
3000.6;-8.74125e-08;0
3029.27;-8.90909e-08;0
3058.21;-9.08014e-08;0
3087.43;-9.25448e-08;0
3116.93;-9.43216e-08;0
3146.71;-9.61326e-08;0
3176.78;-9.79784e-08;0
3207.13;-9.98595e-08;0
3237.77;-1.01777e-07;0
3268.7;-1.03731e-07;0
3299.93;-1.05723e-07;0
3331.46;-1.07752e-07;0
3363.29;-1.09821e-07;0
3395.43;-1.1193e-07;0
3427.87;-1.14079e-07;0
3460.62;-1.16269e-07;0
3493.68;-1.18502e-07;0
3527.06;-1.20777e-07;0
3560.76;-1.23096e-07;0
3594.78;-1.25459e-07;0
3629.13;-1.27868e-07;0
3663.8;-1.30323e-07;0
3698.81;-1.32825e-07;0
3734.15;-1.35375e-07;0
3769.82;-1.37975e-07;0
3805.84;-1.40624e-07;0
3842.21;-1.43324e-07;0
3878.91;-1.46076e-07;0
3915.98;-1.4888e-07;0
3953.39;-1.51739e-07;0
3991.16;-1.54652e-07;0
4029.29;-1.57621e-07;0
4067.79;-1.60648e-07;0
4106.66;-1.63732e-07;0
4145.89;-1.66876e-07;0
4185.51;-1.7008e-07;0
4225.49;-1.73345e-07;0
4265.87;-1.76674e-07;0
4306.62;-1.80066e-07;0
4347.77;-1.83523e-07;0
4389.31;-1.87047e-07;0
4431.25;-1.90638e-07;0
4473.59;-1.94298e-07;0
4516.33;-1.98029e-07;0
4559.48;-2.01831e-07;0
